run_persona;nombre_completo;email;telefono_celular;telefono_alternativo;direccion_calle;comuna_nombre;region_codigo;region_nombre;tipo_persona;run_socio_titular;parentesco;fecha_nacimiento;fecha_inicio_membresia;fecha_fin_membresia;es_usuario_sistema;tipo_usuario;clave_en_texto_plano;sucursal_base_nombre
14306714-1;Oscar Duarte Iturra;oscar.duarte498@mail.cl;955348416;915029179.0;Av Vitacura 3700;Independencia;13;Metropolitana;adicional;20484469-3;prima;21-09-90;01-01-25;31-12-25;NO;;;Santiago Centro
20275877-0;Ignacio Pardo Fuentes;ignacio.pardo853@mail.cl;761526;960592412.0;Av Recoleta 1700;Santa Cruz;6;O'Higgins;invitado;24887596-8;prima;24-01-70;01-01-25;31-12-25;NO;;;Santiago Centro
13603563-5;Beatriz Galdames Barrera;beatriz.galdames793@mail.cl;325984;930295017.0;Av Apoquindo 1400;Nunoa;13;Metropolitana;invitado;5400402-0;prima;04-04-85;01-01-25;31-12-25;NO;;;La Florida
14670706-2;Daniela Mendez Iturra;daniela.mendez845@mail.cl;115355;997667592.0;Av Vitacura 1400;Nunoa;13;Metropolitana;invitado;24480744-5;madre;01-06-61;01-01-25;31-12-25;NO;;;Santa Cruz
21330043-3;Loreto Galdames Pardo;loreto.galdames206@mail.cl;210790;;Av Vicu�a Mackenna 1800;Maipu;13;Metropolitana;socio_titular;;;1990-01;01-01-25;31-12-25;SI;socio;clave8195;La Florida
19916691-4;Kevin Quezada Barrera;kevin.quezada53@mail.cl;169135;947595004.0;Av Pedro de Valdivia 1500;Concepcion;8;BioBio;socio_titular;;;01-01-90;01-01-25;31-12-25;SI;socio;clave9901;La Florida
6115597-9;Javiera Barrera Mendez;javiera.barrera823@mail.cl;640747;;Av Apoquindo 900;Independencia;13;Metropolitana;socio_titular;;;12-07-61;01-01-25;31-12-25;SI;socio;clave7485;Santiago Centro
18971759-2;Enrique Lagos Espinoza;enrique.lagos711@mail.cl;976262906;;Av Vitacura 3300;Independencia;13;Metropolitana;adicional;17608709-0;padre;13-04-02;01-01-25;31-12-25;NO;;;Santa Cruz
15315941-2;Oscar Lagos Galdames;oscar.lagos373@mail.cl;305735;;Av Providencia 600;La Florida;13;Metropolitana;adicional;6988932-3;abuela;-1990;01-01-25;31-12-25;NO;;;La Florida
16097190-7;Kevin Lagos Espinoza;kevin.lagos442@mail.cl;825536;940152816.0;Av Irarrazaval 100;Maipu;13;Metropolitana;adicional;9666051-2;madre;18-11-92;01-01-25;31-12-25;NO;;;Santa Cruz
10732135-7;Javiera Contreras Espinoza;javiera.contreras105@mail.cl;913612679;997324062.0;Av Recoleta 1300;Concepcion;8;BioBio;beneficiario;15182198-7;hijo;21-12-65;01-01-25;31-12-25;NO;;;Santa Cruz
18156051-6;Patricia Alvarez Espinoza;patricia.alvarez497@mail.cl;867398;;Av Vicu�a Mackenna 200;La Reina;13;Metropolitana;invitado;5214098-6;padre;1990-01;01-01-25;31-12-25;NO;;;Santa Cruz
9904274-5;Daniela Henriquez Pardo;daniela.henriquez396@mail.cl;74733;952834826.0;Av Apoquindo 3900;San Miguel;13;Metropolitana;adicional;15667425-6;hijo;02-09-76;01-01-25;31-12-25;NO;;;La Florida
9574785-5;Ignacio Barrera Lagos;ignacio.barrera343@mail.cl;950964;;Av Apoquindo 1500;Las Condes;13;Metropolitana;adicional;19150099-7;abuela;-1990;01-01-25;31-12-25;NO;;;Providencia
8762846-9;Patricia Iturra Mendez;patricia.iturra966@mail.cl;723306;934396187.0;Av Apoquindo 1400;Santa Cruz;6;O'Higgins;adicional;13852439-9;abuela;06-08-78;01-01-25;31-12-25;NO;;;Santiago Centro
10912570-9;Beatriz Contreras Nuñez;beatriz.contreras875@mail.cl;521184;;Av Vitacura 1100;Santa Cruz;6;O'Higgins;invitado;17526820-0;abuelo;15-04-57;01-01-25;31-12-25;NO;;;Providencia
14125567-2;Natalia Iturra Alvarez;natalia.iturra485@mail.cl;434137;975852627.0;Av Vitacura 1500;Vina del Mar;5;Valparaiso;socio_titular;;;-1990;01-01-25;31-12-25;SI;socio;clave3229;Santiago Centro
8355124-0;Ignacio Barrera Fuentes;ignacio.barrera658@mail.cl;911201693;934605694.0;Av Vicu�a Mackenna 3400;Santiago;13;Metropolitana;invitado;8554458-8;abuela;11-10-02;01-01-25;31-12-25;NO;;;Santiago Centro
5473963-K;Claudio Iturra Galdames;claudio.iturra943@mail.cl;938305101;;Av Vitacura 3500;Independencia;13;Metropolitana;adicional;19067421-4;madre;1990-01;01-01-25;31-12-25;NO;;;Santiago Centro
22995069-K;Kevin Quezada Duarte;kevin.quezada850@mail.cl;751079;942473620.0;Av Irarrazaval 2600;Concepcion;8;BioBio;adicional;22924363-2;abuelo;24-04-68;01-01-25;31-12-25;NO;;;La Florida
14701646-4;Patricia Ortiz Ortiz;patricia.ortiz121@mail.cl;776068;999740552.0;Av Pedro de Valdivia 1400;La Reina;13;Metropolitana;invitado;16809928-4;abuela;07-07-74;01-01-25;31-12-25;NO;;;Santa Cruz
16762793-4;Helena Fuentes Nuñez;helena.fuentes534@mail.cl;135989;969048478.0;Av Pedro de Valdivia 3900;Las Condes;13;Metropolitana;invitado;17608709-0;abuela;01-01-90;01-01-25;31-12-25;NO;;;La Florida
24917111-5;Ignacio Espinoza Duarte;ignacio.espinoza37@mail.cl;986434400;;Av Vicu�a Mackenna 2000;Independencia;13;Metropolitana;adicional;24973079-3;prima;06-08-78;01-01-25;31-12-25;NO;;;Santa Cruz
6131162-2;Felicia Contreras Galdames;felicia.contreras250@mail.cl;985201026;;Av Providencia 4000;Santiago;13;Metropolitana;adicional;19172678-6;abuelo;03-02-74;01-01-25;31-12-25;NO;;;Santa Cruz
24990383-3;Mauricio Henriquez Nuñez;mauricio.henriquez885@mail.cl;845521;964648680.0;Av Irarrazaval 2500;Las Condes;13;Metropolitana;socio_titular;;;18-01-83;01-01-25;31-12-25;SI;socio;clave8530;Santiago Centro
18929412-2;Ignacio Contreras Contreras;ignacio.contreras450@mail.cl;970852032;;Av Gran Avenida 3400;La Florida;13;Metropolitana;socio_titular;;;09-12-73;01-01-25;31-12-25;SI;socio;clave6879;La Florida
9915422-3;Alvaro Pardo Nuñez;alvaro.pardo938@mail.cl;986226443;;Av Vicu�a Mackenna 2000;Las Condes;13;Metropolitana;socio_titular;;;06-01-86;01-01-25;31-12-25;SI;socio;clave2679;Santa Cruz
16557397-8;Claudio Ortiz Espinoza;claudio.ortiz999@mail.cl;987029767;;Av Macul 200;Nunoa;13;Metropolitana;adicional;16653005-1;prima;13-10-50;01-01-25;31-12-25;NO;;;La Florida
6183714-0;Patricia Ortiz Barrera;patricia.ortiz584@mail.cl;958325874;947300438.0;Av Alameda 500;Concepcion;8;BioBio;socio_titular;;;17-01-58;01-01-25;31-12-25;SI;socio;clave1168;Providencia
9412063-3;Patricia Mendez Iturra;patricia.mendez241@mail.cl;924606709;;Av Alameda 500;Las Condes;13;Metropolitana;adicional;8054887-4;abuelo;13-09-86;01-01-25;31-12-25;NO;;;Santa Cruz
6717385-6;Gonzalo Lagos Jara;gonzalo.lagos248@mail.cl;967084354;;Av Irarrazaval 2200;Concepcion;8;BioBio;socio_titular;;;13-06-57;01-01-25;31-12-25;SI;socio;clave7656;Santa Cruz
18268692-5;Oscar Jara Galdames;oscar.jara808@mail.cl;503659;;Av Gran Avenida 1500;Santa Cruz;6;O'Higgins;invitado;24724208-2;primo;14-01-95;01-01-25;31-12-25;NO;;;Santa Cruz
9767758-1;Patricia Duarte Iturra;patricia.duarte283@mail.cl;776651;;Av Macul 1000;Concepcion;8;BioBio;adicional;24211768-8;abuela;05-02-00;01-01-25;31-12-25;NO;;;Santiago Centro
17718073-0;Natalia Fuentes Galdames;natalia.fuentes607@mail.cl;774185;996185804.0;Av Pedro de Valdivia 200;Independencia;13;Metropolitana;adicional;9737943-3;primo;1990-01;01-01-25;31-12-25;NO;;;La Florida
10513868-4;Alvaro Contreras Galdames;alvaro.contreras957@mail.cl;569544;;Av Gran Avenida 500;Nunoa;13;Metropolitana;socio_titular;;;12-01-88;01-01-25;31-12-25;SI;socio;clave7093;Santa Cruz
18594306-2;Ignacio Mendez Galdames;ignacio.mendez662@mail.cl;913678742;;Av Pedro de Valdivia 1800;Maipu;13;Metropolitana;invitado;22417599-7;abuela;21-11-59;01-01-25;31-12-25;NO;;;Providencia
21052824-5;Kevin Jara Ortiz;kevin.jara4@mail.cl;944655468;;Av Providencia 3900;Independencia;13;Metropolitana;invitado;10336757-5;prima;27-11-66;01-01-25;31-12-25;NO;;;Santiago Centro
12541013-3;Oscar Duarte Nuñez;oscar.duarte180@mail.cl;821639;920310224.0;Av Apoquindo 2800;Nunoa;13;Metropolitana;invitado;24377951-9;abuelo;26-07-96;01-01-25;31-12-25;NO;;;Providencia
13388386-K;Patricia Pardo Alvarez;patricia.pardo357@mail.cl;941524158;943639795.0;Av Vitacura 2200;Las Condes;13;Metropolitana;socio_titular;;;08-12-78;01-01-25;31-12-25;SI;socio;clave6857;Providencia
12129503-6;Patricia Duarte Lagos;patricia.duarte758@mail.cl;438083;922897894.0;Av Vicu�a Mackenna 2000;Santa Cruz;6;O'Higgins;adicional;12170069-7;madre;03-08-90;01-01-25;31-12-25;NO;;;Santa Cruz
14102250-9;Enrique Duarte Ortiz;enrique.duarte665@mail.cl;81643;;Av Vicu�a Mackenna 100;La Reina;13;Metropolitana;adicional;9081387-0;hijo;-1990;01-01-25;31-12-25;NO;;;La Florida
12900048-5;Oscar Nuñez Galdames;oscar.nunez991@mail.cl;953208304;940054415.0;Av Vicu�a Mackenna 3100;Puente Alto;13;Metropolitana;beneficiario;19916691-4;hijo;25-03-61;01-01-25;31-12-25;NO;;;Santa Cruz
23223640-8;Natalia Ortiz Contreras;natalia.ortiz53@mail.cl;965723511;;Av Macul 1100;Maipu;13;Metropolitana;invitado;22417599-7;abuelo;11-01-03;01-01-25;31-12-25;NO;;;Santiago Centro
8977281-3;Mauricio Pardo Pardo;mauricio.pardo223@mail.cl;956805;;Av Alameda 2700;Nunoa;13;Metropolitana;beneficiario;22997716-4;hijo;04-06-68;01-01-25;31-12-25;NO;;;Santa Cruz
13865976-3;Helena Iturra Fuentes;helena.iturra591@mail.cl;999601998;927512216.0;Av Pedro de Valdivia 2100;San Miguel;13;Metropolitana;invitado;15913517-9;prima;-1990;01-01-25;31-12-25;NO;;;Providencia
23678663-4;Patricia Ortiz Contreras;patricia.ortiz528@mail.cl;789345;;Av Pedro de Valdivia 500;San Miguel;13;Metropolitana;invitado;16809928-4;primo;02-08-78;01-01-25;31-12-25;NO;;;Santiago Centro
5230964-6;Gonzalo Iturra Jara;gonzalo.iturra227@mail.cl;455353;994277611.0;Av Vicu�a Mackenna 1000;La Florida;13;Metropolitana;invitado;16809928-4;abuelo;02-02-82;01-01-25;31-12-25;NO;;;La Florida
8737898-5;Natalia Duarte Duarte;natalia.duarte51@mail.cl;910228093;;Av Gran Avenida 1100;Independencia;13;Metropolitana;adicional;14868324-1;prima;08-05-75;01-01-25;31-12-25;NO;;;Santiago Centro
22934321-5;Mauricio Galdames Pardo;mauricio.galdames908@mail.cl;917385320;924552801.0;Av Providencia 800;Maipu;13;Metropolitana;invitado;7911988-2;abuelo;26-02-52;01-01-25;31-12-25;NO;;;Santiago Centro
17391210-7;Daniela Iturra Alvarez;daniela.iturra172@mail.cl;17713;;Av Irarrazaval 4000;Vina del Mar;5;Valparaiso;adicional;9946748-2;abuela;10-12-90;01-01-25;31-12-25;NO;;;Santa Cruz
22786063-4;Daniela Fuentes Lagos;daniela.fuentes625@mail.cl;951067253;997036347.0;Av Vitacura 3100;Santa Cruz;6;O'Higgins;invitado;9946748-2;primo;27-06-72;01-01-25;31-12-25;NO;;;Providencia
16826552-2;Beatriz Jara Alvarez;beatriz.jara649@mail.cl;576486;929253743.0;Av Vitacura 1400;Nunoa;13;Metropolitana;adicional;8054887-4;hijo;1990-01;01-01-25;31-12-25;NO;;;Santiago Centro
24035203-6;Beatriz Alvarez Barrera;beatriz.alvarez146@mail.cl;914356251;;Av Pedro de Valdivia 800;Santa Cruz;6;O'Higgins;adicional;10336757-5;madre;01-01-90;01-01-25;31-12-25;NO;;;Santiago Centro
13031520-7;Kevin Contreras Espinoza;kevin.contreras275@mail.cl;984045768;;Av Providencia 700;Independencia;13;Metropolitana;adicional;18257455-3;prima;25-09-66;01-01-25;31-12-25;NO;;;La Florida
7413214-6;Gonzalo Lagos Pardo;gonzalo.lagos53@mail.cl;229978;;Av Vitacura 1500;Maipu;13;Metropolitana;adicional;6988932-3;padre;-1990;01-01-25;31-12-25;NO;;;La Florida
21631485-4;Ignacio Ortiz Alvarez;ignacio.ortiz106@mail.cl;729756;;Av Macul 3700;Las Condes;13;Metropolitana;socio_titular;;;07-09-67;01-01-25;31-12-25;SI;socio;clave3106;La Florida
18181419-5;Javiera Ortiz Lagos;javiera.ortiz95@mail.cl;237303;965983946.0;Av Apoquindo 200;La Florida;13;Metropolitana;adicional;19150099-7;primo;05-08-98;01-01-25;31-12-25;NO;;;Santiago Centro
22654389-0;Oscar Henriquez Galdames;oscar.henriquez676@mail.cl;955766471;;Av Providencia 4000;Santa Cruz;6;O'Higgins;invitado;11606281-K;madre;01-02-65;01-01-25;31-12-25;NO;;;Providencia
24234047-7;Natalia Henriquez Galdames;natalia.henriquez809@mail.cl;971861536;;Av Recoleta 3000;Puente Alto;13;Metropolitana;socio_titular;;;01-10-99;01-01-25;31-12-25;SI;socio;clave3271;Santiago Centro
13667087-5;Enrique Nuñez Galdames;enrique.nunez665@mail.cl;970285036;;Av Vicu�a Mackenna 3200;Independencia;13;Metropolitana;socio_titular;;;-1990;01-01-25;31-12-25;SI;socio;clave4070;Providencia
6773795-7;Gonzalo Duarte Duarte;gonzalo.duarte628@mail.cl;964796919;927118341.0;Av Providencia 3600;Vina del Mar;5;Valparaiso;adicional;6016578-3;prima;08-10-90;01-01-25;31-12-25;NO;;;Santiago Centro
14556354-0;Ignacio Iturra Ortiz;ignacio.iturra930@mail.cl;305341;990822264.0;Av Gran Avenida 400;Santa Cruz;6;O'Higgins;adicional;22224530-3;padre;09-03-65;01-01-25;31-12-25;NO;;;La Florida
8449572-7;Oscar Espinoza Quezada;oscar.espinoza225@mail.cl;648540;;Av Providencia 700;La Reina;13;Metropolitana;invitado;6717385-6;primo;23-11-52;01-01-25;31-12-25;NO;;;Santiago Centro
16849266-7;Claudio Pardo Quezada;claudio.pardo150@mail.cl;304630;;Av Vicu�a Mackenna 100;San Miguel;13;Metropolitana;invitado;21325038-8;padre;10-03-57;01-01-25;31-12-25;NO;;;La Florida
11067652-6;Ignacio Quezada Jara;ignacio.quezada338@mail.cl;786020;923792420.0;Av Apoquindo 2000;La Reina;13;Metropolitana;invitado;12529254-2;primo;17-03-60;01-01-25;31-12-25;NO;;;Santiago Centro
20510610-9;Claudio Fuentes Pardo;claudio.fuentes44@mail.cl;55389;;Av Gran Avenida 3800;Puente Alto;13;Metropolitana;socio_titular;;;-1990;01-01-25;31-12-25;SI;socio;clave5872;Santiago Centro
18465035-9;Claudio Nuñez Espinoza;claudio.nunez833@mail.cl;662975;970827638.0;Av Providencia 2200;Santa Cruz;6;O'Higgins;invitado;24548958-7;abuela;-1990;01-01-25;31-12-25;NO;;;Providencia
6771974-3;Claudio Barrera Nuñez;claudio.barrera731@mail.cl;873298;923271265.0;Av Gran Avenida 1900;Maipu;13;Metropolitana;adicional;22924363-2;abuela;27-01-01;01-01-25;31-12-25;NO;;;Santiago Centro
22623170-7;Beatriz Ortiz Lagos;beatriz.ortiz754@mail.cl;694645;958567863.0;Av Vicu�a Mackenna 1900;Providencia;13;Metropolitana;invitado;10513868-4;prima;22-09-59;01-01-25;31-12-25;NO;;;Santa Cruz
23695649-0;Mauricio Alvarez Pardo;mauricio.alvarez674@mail.cl;949976327;928651978.0;Av Vicu�a Mackenna 2800;Maipu;13;Metropolitana;invitado;15912486-K;c—nyuge;1990-01;01-01-25;31-12-25;NO;;;Providencia
21548898-5;Ignacio Espinoza Mendez;ignacio.espinoza68@mail.cl;381106;;Av Vitacura 2500;Vina del Mar;5;Valparaiso;invitado;19150099-7;primo;05-10-55;01-01-25;31-12-25;NO;;;Santiago Centro
18238543-3;Daniela Ortiz Lagos;daniela.ortiz168@mail.cl;917202852;945806231.0;Av Vicu�a Mackenna 1600;Vina del Mar;5;Valparaiso;adicional;15913517-9;madre;1990-01;01-01-25;31-12-25;NO;;;La Florida
9741111-5;Daniela Galdames Jara;daniela.galdames108@mail.cl;424663;;Av Gran Avenida 3100;Santa Cruz;6;O'Higgins;adicional;6115597-9;primo;12-01-75;01-01-25;31-12-25;NO;;;Providencia
7638926-8;Enrique Pardo Jara;enrique.pardo184@mail.cl;104769;948678063.0;Av Vicu�a Mackenna 2800;Maipu;13;Metropolitana;adicional;9946748-2;abuela;10-11-81;01-01-25;31-12-25;NO;;;Santa Cruz
11456047-1;Alvaro Pardo Contreras;alvaro.pardo662@mail.cl;979070991;948950343.0;Av Alameda 1200;Concepcion;8;BioBio;adicional;13667087-5;primo;07-12-99;01-01-25;31-12-25;NO;;;Santa Cruz
24411144-0;Natalia Pardo Henriquez;natalia.pardo124@mail.cl;924529022;917735665.0;Av Macul 700;Santiago;13;Metropolitana;socio_titular;;;01-10-63;01-01-25;31-12-25;SI;socio;clave7329;Santa Cruz
7703798-2;Ignacio Alvarez Henriquez;ignacio.alvarez662@mail.cl;888172;939602920.0;Av Irarrazaval 500;La Reina;13;Metropolitana;invitado;21631485-4;primo;01-01-90;01-01-25;31-12-25;NO;;;La Florida
16372156-2;Daniela Mendez Espinoza;daniela.mendez936@mail.cl;932125949;;Av Apoquindo 2200;Santa Cruz;6;O'Higgins;invitado;24259004-K;abuela;01-01-90;01-01-25;31-12-25;NO;;;La Florida
9839211-4;Natalia Barrera Duarte;natalia.barrera918@mail.cl;995013841;979902765.0;Av Macul 400;Providencia;13;Metropolitana;socio_titular;;;07-10-83;01-01-25;31-12-25;SI;socio;clave3192;La Florida
20208215-7;Kevin Ortiz Duarte;kevin.ortiz270@mail.cl;954166788;979882127.0;Av Providencia 1700;San Miguel;13;Metropolitana;adicional;5400402-0;madre;1990-01;01-01-25;31-12-25;NO;;;La Florida
15258690-6;Beatriz Galdames Quezada;beatriz.galdames277@mail.cl;939291162;911314877.0;Av Providencia 3800;Concepcion;8;BioBio;socio_titular;;;11-12-85;01-01-25;31-12-25;SI;socio;clave2732;Providencia
23176905-6;Mauricio Lagos Lagos;mauricio.lagos224@mail.cl;981831724;;Av Gran Avenida 2700;La Florida;13;Metropolitana;adicional;9946748-2;primo;01-01-60;01-01-25;31-12-25;NO;;;Providencia
19855757-9;Alvaro Nuñez Alvarez;alvaro.nunez740@mail.cl;968709741;;Av Irarrazaval 200;La Florida;13;Metropolitana;invitado;12620839-1;c—nyuge;16-01-84;01-01-25;31-12-25;NO;;;Santa Cruz
10864206-8;Natalia Quezada Pardo;natalia.quezada482@mail.cl;922106246;;Av Irarrazaval 900;Santa Cruz;6;O'Higgins;adicional;9915422-3;abuelo;-1990;01-01-25;31-12-25;NO;;;Providencia
17091139-5;Helena Pardo Barrera;helena.pardo893@mail.cl;184845;;Av Pedro de Valdivia 4000;La Reina;13;Metropolitana;adicional;11166446-1;abuelo;16-01-52;01-01-25;31-12-25;NO;;;La Florida
5067265-4;Enrique Ortiz Alvarez;enrique.ortiz472@mail.cl;389488;944511180.0;Av Apoquindo 1400;San Miguel;13;Metropolitana;beneficiario;24548958-7;c—nyuge;22-06-91;01-01-25;31-12-25;NO;;;Santa Cruz
18607072-0;Natalia Galdames Nuñez;natalia.galdames150@mail.cl;488388;;Av Providencia 1000;Independencia;13;Metropolitana;beneficiario;12620839-1;hijo;26-11-54;01-01-25;31-12-25;NO;;;Santiago Centro
22572731-3;Gonzalo Fuentes Duarte;gonzalo.fuentes625@mail.cl;484362;;Av Irarrazaval 2500;Vina del Mar;5;Valparaiso;adicional;23115895-2;primo;-1990;01-01-25;31-12-25;NO;;;Providencia
8750445-0;Oscar Ortiz Fuentes;oscar.ortiz529@mail.cl;663868;938013280.0;Av Macul 3400;Providencia;13;Metropolitana;socio_titular;;;11-09-64;01-01-25;31-12-25;SI;socio;clave7086;Santa Cruz
24522432-K;Natalia Contreras Ortiz;natalia.contreras479@mail.cl;141813;920724176.0;Av Irarrazaval 100;Puente Alto;13;Metropolitana;invitado;22924363-2;abuelo;27-04-66;01-01-25;31-12-25;NO;;;La Florida
12625578-0;Helena Pardo Mendez;helena.pardo334@mail.cl;851840;;Av Irarrazaval 300;La Reina;13;Metropolitana;socio_titular;;;08-04-85;01-01-25;31-12-25;SI;socio;clave3183;La Florida
19810726-3;Enrique Pardo Fuentes;enrique.pardo692@mail.cl;933986181;965719154.0;Av Alameda 3100;Vina del Mar;5;Valparaiso;invitado;6988932-3;abuelo;-1990;01-01-25;31-12-25;NO;;;La Florida
12638691-5;Felicia Duarte Mendez;felicia.duarte59@mail.cl;992748221;960010182.0;Av Apoquindo 1400;Providencia;13;Metropolitana;invitado;12620839-1;primo;28-11-89;01-01-25;31-12-25;NO;;;Providencia
23004145-8;Daniela Pardo Fuentes;daniela.pardo443@mail.cl;902425;954604337.0;Av Providencia 3000;Providencia;13;Metropolitana;socio_titular;;;12-06-66;01-01-25;31-12-25;SI;socio;clave4023;Providencia
16792691-8;Daniela Fuentes Barrera;daniela.fuentes641@mail.cl;980077609;950705843.0;Av Pedro de Valdivia 3500;Nunoa;13;Metropolitana;invitado;17877848-0;abuela;03-10-97;01-01-25;31-12-25;NO;;;Santa Cruz
16465469-3;Oscar Iturra Barrera;oscar.iturra78@mail.cl;994897117;;Av Recoleta 1900;Puente Alto;13;Metropolitana;beneficiario;23004145-8;c—nyuge;25-05-97;01-01-25;31-12-25;NO;;;Santiago Centro
8744564-4;Mauricio Barrera Quezada;mauricio.barrera818@mail.cl;461759;;Av Vicu�a Mackenna 800;Santiago;13;Metropolitana;adicional;20848551-2;prima;06-08-58;01-01-25;31-12-25;NO;;;Santiago Centro
19213000-K;Mauricio Jara Henriquez;mauricio.jara634@mail.cl;947423;969111751.0;Av Gran Avenida 3500;Concepcion;8;BioBio;invitado;9459415-6;padre;26-05-72;01-01-25;31-12-25;NO;;;Santiago Centro
10238808-7;Natalia Ortiz Iturra;natalia.ortiz152@mail.cl;956175106;;Av Vicu�a Mackenna 900;La Florida;13;Metropolitana;adicional;22405688-5;abuelo;15-06-69;01-01-25;31-12-25;NO;;;Santa Cruz
15041113-5;Daniela Pardo Barrera;daniela.pardo3@mail.cl;863783;999780708.0;Av Apoquindo 1200;San Miguel;13;Metropolitana;socio_titular;;;-1990;01-01-25;31-12-25;SI;socio;clave1257;Santiago Centro
9297003-4;Loreto Mendez Lagos;loreto.mendez569@mail.cl;926131284;;Av Apoquindo 2300;Maipu;13;Metropolitana;socio_titular;;;15-03-94;01-01-25;31-12-25;SI;socio;clave6000;Providencia
13147836-4;Alvaro Alvarez Henriquez;alvaro.alvarez188@mail.cl;13707;971731317.0;Av Vicu�a Mackenna 3200;La Florida;13;Metropolitana;adicional;9774947-7;hijo;18-02-52;01-01-25;31-12-25;NO;;;Providencia
7570061-K;Kevin Barrera Mendez;kevin.barrera533@mail.cl;957935207;;Av Vicu�a Mackenna 3000;Santa Cruz;6;O'Higgins;invitado;9666051-2;primo;10-01-76;01-01-25;31-12-25;NO;;;Santa Cruz
11512003-4;Patricia Nuñez Pardo;patricia.nunez272@mail.cl;951983376;;Av Vicu�a Mackenna 3500;Puente Alto;13;Metropolitana;adicional;5093909-9;primo;20-08-99;01-01-25;31-12-25;NO;;;Santa Cruz
8095331-3;Natalia Barrera Mendez;natalia.barrera997@mail.cl;920814794;970801989.0;Av Recoleta 100;La Florida;13;Metropolitana;invitado;5093909-9;prima;01-01-90;01-01-25;31-12-25;NO;;;Santa Cruz
24666885-7;Gonzalo Pardo Alvarez;gonzalo.pardo829@mail.cl;914001971;984205929.0;Av Irarrazaval 3700;La Florida;13;Metropolitana;invitado;17782653-7;abuela;18-07-63;01-01-25;31-12-25;NO;;;Santiago Centro
11943664-8;Patricia Nuñez Galdames;patricia.nunez415@mail.cl;911136;963254761.0;Av Vicu�a Mackenna 3800;Concepcion;8;BioBio;adicional;17782653-7;abuelo;18-08-60;01-01-25;31-12-25;NO;;;Santiago Centro
12022661-0;Claudio Quezada Henriquez;claudio.quezada655@mail.cl;447777;985402702.0;Av Providencia 3000;Providencia;13;Metropolitana;adicional;9774947-7;prima;-1990;01-01-25;31-12-25;NO;;;Providencia
20643352-3;Felicia Iturra Ortiz;felicia.iturra241@mail.cl;923710463;;Av Providencia 700;Vina del Mar;5;Valparaiso;socio_titular;;;02-05-80;01-01-25;31-12-25;SI;socio;clave8711;La Florida
9158844-7;Felicia Contreras Mendez;felicia.contreras268@mail.cl;822442;993000680.0;Av Macul 300;Las Condes;13;Metropolitana;adicional;6183714-0;prima;14-01-57;01-01-25;31-12-25;NO;;;Providencia
16430575-9;Felicia Pardo Fuentes;felicia.pardo138@mail.cl;930894249;;Av Macul 2500;Maipu;13;Metropolitana;adicional;17526820-0;hijo;21-09-71;01-01-25;31-12-25;NO;;;Santiago Centro
19305231-2;Patricia Jara Nuñez;patricia.jara385@mail.cl;954524072;924265186.0;Av Macul 700;Maipu;13;Metropolitana;beneficiario;22417599-7;c—nyuge;21-01-62;01-01-25;31-12-25;NO;;;Santa Cruz
5303771-4;Kevin Nuñez Henriquez;kevin.nunez272@mail.cl;996233686;915960385.0;Av Vitacura 3700;Vina del Mar;5;Valparaiso;adicional;12465939-9;prima;13-03-73;01-01-25;31-12-25;NO;;;Providencia
16147735-7;Beatriz Duarte Duarte;beatriz.duarte447@mail.cl;664173;934305436.0;Av Vicu�a Mackenna 3400;Independencia;13;Metropolitana;adicional;24411144-0;hijo;16-08-82;01-01-25;31-12-25;NO;;;Providencia
10103519-0;Helena Contreras Barrera;helena.contreras742@mail.cl;184845;915910474.0;Av Providencia 1100;Vina del Mar;5;Valparaiso;socio_titular;;;12-06-86;01-01-25;31-12-25;SI;socio;clave4850;Santa Cruz
15877590-5;Claudio Ortiz Ortiz;claudio.ortiz7@mail.cl;943635931;969533317.0;Av Apoquindo 1600;Concepcion;8;BioBio;adicional;6960687-3;primo;18-02-81;01-01-25;31-12-25;NO;;;Providencia
22563866-5;Helena Ortiz Jara;helena.ortiz224@mail.cl;736277;;Av Recoleta 300;Providencia;13;Metropolitana;beneficiario;23115895-2;c—nyuge;08-10-80;01-01-25;31-12-25;NO;;;Santiago Centro
22647250-9;Ignacio Fuentes Alvarez;ignacio.fuentes873@mail.cl;933410903;979204915.0;Av Vitacura 1000;Providencia;13;Metropolitana;beneficiario;8554458-8;c—nyuge;19-03-91;01-01-25;31-12-25;NO;;;Providencia
19321917-9;Kevin Lagos Quezada;kevin.lagos803@mail.cl;962902160;918730520.0;Av Providencia 3100;Santiago;13;Metropolitana;adicional;14125567-2;madre;01-09-96;01-01-25;31-12-25;NO;;;Providencia
10720940-0;Mauricio Nuñez Henriquez;mauricio.nunez139@mail.cl;945503059;961604543.0;Av Recoleta 3700;Santa Cruz;6;O'Higgins;socio_titular;;;11-08-73;01-01-25;31-12-25;SI;socio;clave8192;Santa Cruz
22282708-6;Alvaro Espinoza Ortiz;alvaro.espinoza120@mail.cl;990027294;966956311.0;Av Providencia 2400;San Miguel;13;Metropolitana;administrativo;;;-1990;01-01-25;31-12-25;SI;administrativo;clave9081;La Florida
13242165-1;Daniela Jara Ortiz;daniela.jara234@mail.cl;983677365;;Av Vitacura 3000;Las Condes;13;Metropolitana;socio_titular;;;17-01-57;01-01-25;31-12-25;SI;socio;clave1123;La Florida
